Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
1,58,Female,Married,IT,Manager,1,15488,28,15,4,2,1,3,4,14,No,6,54,17,4,4,4,20,3,No
2,48,Female,Married,Sales,Assistant,5,13079,28,6,9,1,2,1,1,6,Yes,2,45,1,4,1,2,25,2,No
3,34,Male,Married,Marketing,Assistant,1,13744,24,24,14,8,3,2,1,77,Yes,6,34,2,3,4,4,45,3,No
4,27,Female,Divorced,Marketing,Manager,1,6809,26,10,8,2,3,5,4,49,No,9,48,18,2,3,1,35,3,No
5,40,Male,Divorced,Marketing,Executive,1,10206,52,29,10,1,2,5,1,64,No,3,33,0,4,1,3,44,3,No
6,58,Male,Divorced,Finance,Assistant,3,16746,48,15,9,3,4,2,3,66,No,9,35,9,2,2,3,24,1,No
7,38,Male,Divorced,HR,Analyst,1,18995,55,29,1,1,4,5,1,43,No,2,55,13,1,1,3,40,2,No
8,42,Female,Divorced,Marketing,Manager,3,19035,24,4,9,0,3,2,3,30,No,5,46,12,4,2,4,13,1,No
9,30,Male,Married,IT,Analyst,5,14671,31,18,3,5,4,1,1,42,Yes,2,36,8,3,4,2,48,3,No
10,30,Male,Married,Marketing,Analyst,3,16210,31,18,11,9,3,1,2,76,No,7,53,5,3,3,4,39,2,No
11,43,Female,Married,Finance,Executive,5,8197,81,25,12,7,3,1,4,47,Yes,9,52,5,4,1,2,4,3,Yes
12,55,Female,Married,IT,Analyst,5,18553,76,17,10,9,2,2,2,81,No,7,36,18,2,2,3,12,1,No
13,59,Female,Divorced,Finance,Executive,3,10452,15,12,9,9,4,2,1,80,No,5,38,9,1,4,1,17,1,No
14,43,Female,Divorced,IT,Assistant,2,11718,26,7,1,1,2,4,1,80,Yes,4,42,2,1,3,4,1,3,No
15,22,Male,Divorced,Sales,Manager,4,17859,18,16,1,8,3,5,3,60,No,4,49,17,3,3,1,17,2,No
16,41,Male,Single,HR,Analyst,1,5172,56,11,9,2,3,5,1,74,Yes,8,43,18,3,3,3,2,1,No
17,21,Male,Married,HR,Manager,4,16158,27,14,11,7,3,4,1,83,Yes,1,45,4,2,4,2,6,3,No
18,43,Male,Married,Finance,Analyst,1,19663,99,3,14,7,1,4,1,9,Yes,5,52,10,3,4,1,44,4,No
19,49,Female,Divorced,HR,Manager,1,14085,18,19,6,2,1,1,2,28,No,2,38,9,2,4,4,11,3,No
20,57,Male,Married,Finance,Analyst,5,6981,96,18,4,2,1,4,3,47,No,9,44,16,4,3,1,43,3,No
21,21,Male,Married,Finance,Analyst,1,8247,83,10,7,5,2,2,2,97,No,7,34,3,1,1,1,18,2,No
22,40,Female,Divorced,Finance,Analyst,1,13553,33,6,5,0,3,3,3,80,No,8,47,17,4,2,4,40,3,No
23,52,Male,Single,HR,Analyst,3,9135,16,13,10,3,4,2,2,61,No,6,50,17,3,4,2,25,4,No
24,31,Male,Single,Finance,Analyst,4,8573,26,10,14,0,2,4,1,12,No,9,49,0,1,1,4,39,3,Yes
25,41,Male,Single,HR,Analyst,3,16731,95,18,7,2,2,5,2,43,Yes,6,37,13,1,2,3,28,4,No
26,44,Male,Divorced,Finance,Analyst,1,10189,88,26,8,8,2,2,2,46,No,7,44,7,4,3,2,46,1,No
27,46,Male,Married,Marketing,Analyst,5,17541,20,20,8,4,4,5,3,63,No,7,50,1,2,1,1,16,3,Yes
28,47,Male,Divorced,Finance,Analyst,3,13878,22,26,1,4,3,2,3,90,No,9,54,18,1,3,4,12,2,Yes
29,35,Female,Divorced,IT,Manager,3,14087,65,16,8,3,1,5,2,52,No,8,38,14,2,2,3,41,3,No
30,34,Female,Married,Finance,Executive,2,16667,25,25,6,2,3,2,3,89,Yes,1,48,1,4,4,4,29,4,No
31,22,Male,Single,Sales,Analyst,1,5776,77,25,4,4,3,5,3,91,Yes,4,58,3,4,3,2,23,4,No
32,56,Male,Single,Finance,Executive,5,12311,71,6,13,3,2,3,3,76,Yes,7,55,0,2,1,3,21,2,Yes
33,26,Female,Divorced,IT,Analyst,3,10697,26,13,14,7,2,1,4,75,Yes,8,51,18,4,4,1,16,4,No
34,40,Male,Single,IT,Analyst,3,17629,87,4,12,3,2,2,3,43,Yes,7,35,9,1,1,2,48,3,No
35,28,Male,Divorced,HR,Manager,5,11386,16,23,8,7,1,3,4,27,No,3,33,0,4,2,3,41,4,No
36,58,Male,Divorced,Marketing,Assistant,1,11044,22,14,3,5,1,1,4,1,Yes,4,40,19,4,2,2,45,3,No
37,37,Female,Married,Finance,Assistant,2,12615,25,1,13,4,1,2,3,56,Yes,7,58,14,1,4,1,26,3,Yes
38,23,Male,Married,HR,Manager,3,18034,67,28,4,3,3,3,2,56,No,8,39,3,2,1,3,37,4,No
39,44,Female,Married,Marketing,Executive,2,8060,24,20,6,3,2,3,3,33,No,7,32,6,4,1,4,22,2,Yes
40,33,Male,Divorced,Finance,Assistant,4,13900,99,5,11,3,4,3,1,86,Yes,6,30,6,2,1,4,10,1,No
41,28,Female,Married,Sales,Manager,1,8581,98,8,7,8,3,4,2,57,No,9,41,17,1,1,1,7,2,No
42,45,Female,Single,Finance,Manager,4,5014,22,12,4,3,1,5,4,51,No,9,52,12,2,2,3,9,1,No
43,21,Male,Single,IT,Assistant,4,15997,50,2,4,8,4,1,4,28,Yes,7,44,9,2,1,1,25,2,No
44,39,Female,Divorced,IT,Executive,4,13635,90,12,7,9,4,5,2,34,No,8,44,7,3,2,1,46,3,No
45,47,Male,Divorced,Sales,Manager,1,16648,28,5,6,5,2,5,2,74,Yes,6,50,9,3,1,2,15,3,No
46,26,Female,Married,HR,Analyst,1,10148,68,22,13,9,4,5,3,47,Yes,1,43,13,4,1,4,13,4,No
47,27,Male,Divorced,Marketing,Executive,5,17022,99,5,11,6,1,3,4,32,No,1,55,13,3,3,1,42,1,No
48,54,Male,Divorced,Finance,Executive,2,8919,35,13,8,9,2,5,1,74,Yes,6,36,19,3,3,2,46,1,No
49,33,Female,Single,IT,Assistant,2,18886,64,9,1,2,4,4,3,72,Yes,2,46,10,3,1,1,26,4,Yes
50,36,Male,Single,HR,Assistant,5,9638,53,10,10,7,2,2,2,77,No,8,53,5,2,2,1,21,2,Yes
51,55,Male,Married,Sales,Analyst,5,7651,34,1,13,2,4,3,4,8,No,1,48,0,2,1,1,23,4,No
52,59,Female,Divorced,IT,Manager,4,3609,21,3,11,0,3,1,2,47,No,2,36,18,3,3,4,44,2,Yes
53,23,Male,Divorced,Sales,Assistant,5,10940,23,18,7,9,3,2,2,66,No,8,57,6,1,1,3,28,4,No
54,21,Male,Single,Finance,Assistant,3,13348,15,12,12,4,1,2,2,92,Yes,6,32,17,3,3,4,38,1,Yes
55,25,Female,Divorced,Marketing,Executive,2,6866,40,29,7,1,3,2,3,82,No,2,59,2,1,1,2,12,1,No
56,23,Female,Single,IT,Assistant,5,19755,52,3,11,9,3,5,1,35,No,2,32,19,2,4,3,24,2,No
57,48,Male,Married,IT,Assistant,3,19999,52,26,7,5,3,5,1,95,Yes,7,55,10,1,1,2,13,1,Yes
58,37,Male,Single,Finance,Assistant,3,5253,75,25,7,9,4,3,4,70,Yes,5,54,4,2,2,1,40,1,No
59,45,Female,Divorced,HR,Assistant,3,7942,58,29,10,8,4,5,2,91,Yes,5,58,18,1,3,3,48,1,No
60,53,Female,Married,Marketing,Executive,3,15330,58,9,14,0,2,5,1,43,Yes,8,47,1,2,4,2,2,1,No
61,29,Male,Single,IT,Analyst,4,3864,88,26,10,3,4,5,2,81,No,7,59,3,2,3,1,39,3,No
62,55,Female,Single,Marketing,Analyst,3,4268,76,2,8,0,3,3,4,59,No,9,49,9,3,3,2,12,4,No
63,33,Male,Married,IT,Manager,4,10454,20,3,9,0,4,3,2,62,Yes,4,51,1,4,2,2,39,4,Yes
64,50,Male,Married,Marketing,Assistant,4,16666,31,14,9,7,1,4,1,4,Yes,4,43,7,4,1,4,14,3,Yes
65,34,Male,Single,Sales,Executive,3,15370,65,4,2,1,2,4,2,86,Yes,2,32,0,2,2,1,30,1,Yes
66,27,Male,Divorced,IT,Manager,2,8229,52,25,13,0,2,4,1,85,Yes,3,57,5,3,1,4,41,4,No
67,33,Male,Single,Marketing,Manager,3,19309,38,19,13,7,4,4,4,89,No,1,55,10,4,4,3,43,4,No
68,42,Female,Married,HR,Analyst,3,7054,65,13,7,3,3,2,2,75,Yes,1,59,9,4,2,1,48,4,Yes
69,59,Female,Single,Sales,Executive,3,3935,24,7,7,2,2,2,1,39,No,7,55,12,3,2,4,19,2,No
70,40,Female,Married,Sales,Executive,2,15172,86,12,4,3,1,4,4,18,Yes,5,36,0,3,3,4,31,3,No
71,35,Female,Married,HR,Executive,1,13530,35,3,9,4,1,4,2,46,No,3,36,1,4,2,3,43,2,No
72,37,Male,Divorced,Marketing,Analyst,1,18560,84,23,8,0,2,1,4,64,No,7,34,2,4,1,2,43,2,No
73,43,Male,Married,Finance,Analyst,4,19156,99,23,12,0,3,2,1,66,No,2,32,8,1,2,2,25,3,No
74,45,Male,Married,HR,Analyst,4,19709,71,9,1,2,3,1,2,90,No,3,47,4,1,2,2,4,4,No
75,44,Male,Divorced,Marketing,Analyst,2,12726,53,2,2,5,4,1,2,17,Yes,1,44,9,2,4,3,13,2,No
76,48,Female,Married,HR,Analyst,5,10774,47,29,13,0,4,5,2,49,No,8,49,9,4,1,4,36,4,No
77,34,Male,Divorced,HR,Assistant,1,4985,73,22,13,1,2,3,4,29,Yes,2,43,11,3,3,1,42,2,No
78,20,Male,Divorced,IT,Assistant,4,17252,32,9,2,6,4,2,4,65,No,7,58,17,3,1,3,37,4,No
79,44,Female,Married,Marketing,Executive,1,7603,70,12,12,0,4,4,1,4,No,9,33,0,4,4,2,3,1,No
80,26,Female,Married,Finance,Manager,2,18960,71,12,12,6,4,4,3,92,Yes,6,56,2,2,1,2,16,1,No
81,28,Female,Single,IT,Executive,2,12462,90,15,11,3,1,3,2,96,Yes,2,53,4,3,1,1,26,1,No
82,43,Female,Divorced,HR,Manager,5,17166,62,2,8,9,4,2,2,41,No,2,37,16,4,2,3,40,3,No
83,20,Male,Single,HR,Analyst,5,10754,56,18,1,5,2,4,1,83,No,9,58,7,4,2,2,39,1,No
84,27,Male,Married,HR,Manager,2,17246,41,13,4,7,3,4,2,93,Yes,8,50,16,2,1,3,19,2,No
85,43,Female,Single,Marketing,Executive,4,7078,88,14,10,8,4,5,4,4,No,9,42,8,4,1,4,46,4,No
86,30,Male,Divorced,Marketing,Executive,1,15853,66,5,12,5,3,1,4,49,Yes,4,51,5,3,3,3,15,4,No
87,36,Male,Single,IT,Manager,3,7042,56,26,5,8,4,4,2,84,Yes,4,37,16,1,4,4,32,4,No
88,27,Male,Divorced,Finance,Assistant,5,19284,46,10,9,3,2,2,2,57,Yes,2,44,7,2,2,1,49,4,No
89,54,Female,Married,IT,Analyst,3,17389,40,12,7,5,1,3,4,78,No,1,46,6,4,2,4,21,2,No
90,54,Male,Married,Sales,Analyst,4,5575,39,10,8,7,2,5,2,83,No,4,34,6,2,2,4,1,4,No
91,52,Female,Divorced,HR,Executive,5,9754,89,24,14,8,1,2,4,7,Yes,8,49,14,4,2,1,6,2,No
92,24,Male,Married,HR,Assistant,3,4986,37,11,11,2,4,5,3,30,Yes,2,33,6,1,1,2,27,2,No
93,58,Male,Married,HR,Manager,4,18470,71,25,9,1,4,1,3,11,Yes,8,40,7,2,1,1,23,4,Yes
94,47,Male,Married,IT,Analyst,1,8968,66,2,13,5,1,4,2,20,Yes,1,47,8,4,3,3,47,4,No
95,26,Female,Married,IT,Assistant,4,10493,45,5,7,3,2,2,2,93,No,1,39,14,1,2,1,31,4,Yes
96,28,Male,Divorced,HR,Analyst,5,7103,78,7,5,0,2,3,2,61,Yes,4,46,1,3,2,3,12,2,No
97,27,Female,Single,IT,Assistant,2,5076,85,6,13,7,1,1,4,90,No,7,59,6,4,1,2,21,3,No
98,31,Female,Single,Marketing,Assistant,1,5994,47,22,5,8,4,1,3,89,Yes,9,44,14,1,3,3,2,2,No
99,53,Female,Married,Marketing,Executive,3,6744,99,23,10,8,1,5,3,32,No,5,35,17,1,1,1,5,3,Yes
100,52,Male,Single,IT,Analyst,5,17466,16,3,11,1,4,1,1,25,No,2,52,17,2,2,1,9,4,No
101,42,Male,Single,HR,Manager,2,17523,32,13,6,8,1,2,1,89,No,7,50,9,4,2,2,20,2,No
102,43,Male,Married,IT,Executive,4,8594,61,3,5,6,4,5,2,99,No,2,45,17,3,4,1,46,4,Yes
103,56,Male,Married,IT,Executive,2,10531,47,26,13,4,1,1,4,39,No,9,44,0,4,4,2,18,3,No
104,54,Female,Single,IT,Manager,5,10371,98,25,12,6,3,3,2,64,Yes,9,37,6,1,4,2,22,3,No
105,59,Female,Divorced,Sales,Executive,5,17547,49,24,11,8,4,2,3,58,Yes,3,38,2,3,3,1,8,2,No
106,41,Female,Married,Marketing,Assistant,2,6144,65,21,9,7,2,3,2,14,No,8,40,13,1,1,4,34,2,No
107,46,Male,Divorced,Finance,Assistant,4,16990,32,6,3,5,1,3,2,0,Yes,4,56,11,2,2,3,9,2,No
108,54,Female,Single,Finance,Analyst,2,17083,86,11,3,3,2,5,3,10,Yes,3,31,13,4,2,4,7,2,No
109,20,Male,Married,Sales,Analyst,5,19626,44,28,7,0,1,4,3,54,Yes,1,56,3,1,3,2,30,1,No
110,54,Female,Divorced,IT,Manager,5,10954,58,26,7,5,2,5,3,1,Yes,5,42,12,1,2,3,18,1,No
111,56,Male,Married,Sales,Analyst,3,10269,67,17,6,2,2,2,3,64,Yes,4,33,15,4,2,4,27,4,No
112,33,Male,Single,Sales,Assistant,3,10130,24,10,3,5,1,2,1,94,Yes,1,56,15,3,1,1,16,3,Yes
113,22,Female,Divorced,HR,Manager,1,9828,66,12,14,5,1,5,4,43,Yes,8,38,4,1,4,4,21,3,No
114,20,Female,Single,Marketing,Manager,5,11844,63,17,13,3,2,4,4,15,No,8,34,19,4,4,3,5,4,No
115,24,Female,Single,Finance,Analyst,3,17220,25,4,7,1,2,5,3,21,Yes,8,48,5,2,3,3,29,4,Yes
116,45,Female,Married,IT,Assistant,2,9331,80,2,5,8,2,2,4,17,Yes,3,51,5,2,4,3,47,4,No
117,33,Male,Divorced,Finance,Manager,4,16397,72,11,7,1,4,4,4,46,Yes,6,32,17,4,4,3,37,1,Yes
118,58,Female,Single,Finance,Assistant,2,13291,50,7,2,2,4,2,4,80,No,7,59,5,1,3,4,43,4,No
119,46,Female,Single,Marketing,Assistant,4,13164,47,2,6,9,3,4,4,29,No,9,50,6,4,3,1,22,3,No
120,28,Female,Divorced,Finance,Assistant,3,13450,61,26,14,0,4,4,3,9,Yes,5,32,15,4,4,1,14,4,No
121,34,Male,Single,Finance,Analyst,1,5035,27,18,8,6,4,5,2,98,No,9,35,8,1,1,3,19,2,No
122,34,Male,Single,Sales,Executive,2,14463,54,21,1,0,1,5,2,57,No,6,57,12,3,3,1,35,3,No
123,45,Female,Divorced,Marketing,Executive,2,10977,82,4,4,8,3,5,2,61,Yes,4,39,11,3,2,4,24,3,No
124,32,Male,Divorced,HR,Manager,2,15182,56,8,11,0,3,4,1,84,No,1,34,18,2,3,1,42,3,No
125,51,Female,Divorced,IT,Assistant,4,3298,33,20,1,4,4,4,4,79,Yes,1,59,0,3,2,2,6,1,No
126,58,Male,Divorced,Finance,Analyst,3,3923,96,14,14,6,1,2,3,5,No,5,54,7,4,3,1,3,1,No
127,51,Male,Married,IT,Assistant,2,16331,33,12,1,2,1,3,3,66,Yes,3,32,3,1,3,3,34,3,No
128,23,Male,Divorced,HR,Assistant,2,9578,72,22,10,8,3,5,1,40,No,5,51,18,2,4,1,45,2,Yes
129,49,Male,Married,IT,Analyst,1,7875,37,21,12,7,1,2,3,42,Yes,5,53,4,3,4,1,2,3,No
130,56,Female,Married,HR,Executive,1,15254,68,27,14,2,2,2,2,84,Yes,1,36,16,4,4,1,15,1,No
131,42,Female,Married,Sales,Assistant,3,13905,94,18,14,4,4,1,1,76,No,8,51,2,2,1,1,37,2,No
132,58,Female,Single,Finance,Assistant,3,16353,79,11,11,6,2,5,3,17,Yes,5,59,18,1,4,2,15,3,No
133,34,Male,Married,HR,Executive,5,18882,26,29,8,3,3,2,1,57,Yes,5,47,0,3,4,4,32,1,No
134,48,Female,Married,IT,Analyst,1,12663,38,28,7,4,3,1,1,59,No,9,52,0,4,3,3,21,2,No
135,55,Female,Single,Finance,Manager,5,3941,48,8,12,2,1,5,3,87,Yes,8,37,19,1,3,3,17,4,No
136,32,Female,Single,Sales,Executive,4,4907,67,2,10,8,1,4,2,26,Yes,1,30,8,4,1,1,34,4,No
137,51,Male,Single,Finance,Manager,5,7837,22,25,13,9,3,1,3,67,No,3,54,4,4,2,4,32,3,No
138,26,Male,Divorced,HR,Manager,2,16680,32,15,1,8,3,4,4,21,Yes,7,33,6,4,3,1,47,4,No
139,41,Male,Single,Sales,Executive,5,8696,71,9,11,6,2,3,4,23,No,1,53,5,1,3,2,23,1,No
140,47,Female,Single,IT,Assistant,3,19226,19,19,14,9,2,3,3,39,Yes,1,55,16,2,2,4,35,2,No
141,21,Female,Married,Sales,Manager,4,16543,40,20,13,1,1,3,2,73,No,5,36,16,4,1,4,37,3,Yes
142,25,Female,Single,Sales,Manager,2,15615,44,8,2,6,2,3,4,65,No,9,43,12,2,3,4,43,2,No
143,47,Male,Divorced,Marketing,Analyst,5,4466,68,25,4,6,1,2,4,39,Yes,6,42,11,2,4,4,41,2,No
144,47,Male,Single,Sales,Assistant,4,3375,27,19,1,4,1,3,3,5,No,2,39,3,3,1,1,37,2,Yes
145,39,Female,Divorced,Sales,Manager,4,3262,97,5,3,8,4,2,3,17,Yes,9,52,7,3,2,2,33,1,No
146,49,Male,Single,Finance,Analyst,2,14580,43,11,8,2,1,2,3,80,Yes,6,47,4,2,2,4,25,3,No
147,30,Male,Single,IT,Assistant,5,13136,17,15,8,3,2,5,1,86,No,5,30,4,3,4,3,46,4,No
148,47,Male,Single,Finance,Executive,4,10833,72,8,8,0,3,2,1,29,Yes,5,33,12,3,4,3,37,2,Yes
149,44,Male,Single,Finance,Executive,4,4893,90,19,6,5,3,2,1,20,Yes,3,57,10,2,4,2,40,2,No
150,58,Female,Divorced,HR,Analyst,1,11106,16,23,6,3,2,3,3,61,No,6,45,7,1,1,3,21,2,No
151,52,Male,Divorced,Finance,Executive,4,14826,89,27,5,0,3,2,2,9,Yes,4,45,7,3,2,1,46,1,No
152,20,Male,Married,Marketing,Manager,1,4652,42,8,13,1,1,4,4,12,Yes,2,47,0,3,4,1,48,4,No
153,46,Male,Divorced,Marketing,Assistant,5,3599,96,26,9,2,3,3,1,75,No,3,37,12,1,4,2,38,2,No
154,32,Male,Single,HR,Manager,5,11792,91,27,4,8,2,1,2,8,Yes,9,39,4,1,2,4,40,1,No
155,22,Female,Married,IT,Manager,5,6637,90,19,10,7,3,3,3,67,Yes,9,45,7,1,3,3,34,1,No
156,58,Female,Married,IT,Executive,3,13355,16,18,12,6,1,2,1,38,No,6,52,16,2,1,3,19,2,No
157,25,Male,Married,Finance,Manager,5,18989,21,10,12,3,1,4,3,23,Yes,9,53,12,1,3,2,27,2,No
158,27,Male,Single,Finance,Executive,4,12290,40,29,12,0,2,3,2,33,Yes,4,40,8,2,4,2,9,1,Yes
159,46,Male,Divorced,Finance,Assistant,2,8599,90,7,7,7,2,4,1,60,No,5,35,1,4,1,3,5,1,No
160,28,Male,Single,IT,Assistant,1,17342,30,28,1,3,2,1,1,40,Yes,6,30,18,4,3,4,5,2,Yes
161,56,Male,Married,Sales,Manager,3,16945,37,9,9,2,4,1,1,4,Yes,9,59,19,1,2,2,25,1,No
162,52,Male,Single,Marketing,Analyst,5,13762,54,1,7,8,4,5,1,78,No,5,58,16,1,4,1,26,1,No
163,43,Female,Single,Sales,Executive,5,17312,74,19,10,9,1,5,2,49,No,8,58,6,4,1,3,19,2,Yes
164,34,Male,Divorced,Sales,Executive,2,10382,87,5,12,3,4,3,1,3,Yes,1,41,2,2,1,2,30,2,No
165,51,Female,Divorced,IT,Manager,2,11982,46,19,9,3,4,5,4,50,Yes,5,54,18,2,1,2,36,3,No
166,51,Female,Married,Sales,Executive,3,10707,29,1,7,8,3,4,4,51,No,1,35,18,1,1,2,48,4,No
167,43,Male,Single,HR,Executive,1,7633,27,15,2,1,4,5,3,38,Yes,6,57,8,1,4,3,48,2,Yes
168,31,Female,Single,Finance,Analyst,5,12269,19,16,6,4,3,4,1,7,Yes,7,42,9,1,4,1,16,2,No
169,58,Female,Divorced,HR,Analyst,3,16778,89,23,10,3,2,5,4,44,Yes,5,55,13,4,2,1,7,2,Yes
170,21,Female,Single,Marketing,Manager,4,10008,88,7,12,8,3,5,4,87,No,1,46,17,3,2,3,18,4,No
171,22,Female,Single,Finance,Analyst,4,18523,66,26,11,4,3,5,4,27,Yes,6,30,14,1,2,2,21,3,No
172,56,Female,Single,Sales,Manager,3,6618,91,12,4,8,2,2,2,26,Yes,5,37,0,2,3,3,31,1,No
173,36,Female,Divorced,Marketing,Assistant,5,3272,55,8,3,8,2,2,1,64,No,6,51,5,3,2,3,1,4,Yes
174,21,Male,Married,Finance,Manager,3,16007,67,5,2,1,1,5,2,33,No,7,37,14,2,4,2,3,2,No
175,21,Female,Married,Sales,Assistant,5,5547,64,10,6,8,1,4,2,80,No,7,53,5,3,3,3,31,2,No
176,47,Female,Single,HR,Manager,2,6164,29,28,8,2,1,3,4,61,Yes,2,40,17,4,4,4,25,3,No
177,42,Female,Married,Finance,Executive,3,17414,21,21,6,3,1,1,4,61,Yes,3,43,0,3,3,1,8,3,Yes
178,56,Male,Divorced,Sales,Analyst,5,17327,54,5,9,0,3,2,3,37,No,6,53,2,2,2,4,1,3,No
179,51,Female,Divorced,HR,Assistant,3,18576,42,17,14,0,3,5,1,25,Yes,3,39,16,3,2,4,7,1,Yes
180,52,Male,Married,Marketing,Manager,3,3946,46,26,5,0,1,1,1,23,Yes,2,44,15,4,2,4,7,4,No
181,20,Female,Married,Marketing,Analyst,5,17693,29,5,2,8,4,2,4,38,Yes,4,36,7,2,3,3,8,4,No
182,38,Male,Single,Marketing,Manager,5,19890,99,22,8,7,1,3,4,20,Yes,5,36,16,1,4,2,19,3,No
183,21,Male,Married,Marketing,Analyst,1,18540,84,15,9,4,4,4,1,93,No,9,39,7,3,1,3,17,1,No
184,45,Female,Single,IT,Analyst,3,9719,79,13,14,4,2,5,3,46,No,3,33,16,2,4,1,11,4,No
185,51,Female,Single,Finance,Manager,4,11435,18,28,10,8,3,3,4,47,Yes,3,54,8,3,2,3,47,2,No
186,25,Male,Divorced,Finance,Assistant,3,14350,25,1,4,2,3,2,3,12,No,6,57,11,4,3,3,41,2,No
187,51,Female,Divorced,IT,Assistant,3,6590,40,11,6,2,4,5,2,2,Yes,5,47,18,2,3,3,49,2,No
188,23,Male,Divorced,Sales,Executive,5,13064,75,23,11,6,1,1,4,31,Yes,6,56,3,1,2,3,11,4,No
189,30,Male,Divorced,Sales,Analyst,3,3390,51,1,10,8,3,4,2,34,No,7,54,10,1,3,4,38,3,No
190,36,Male,Married,Marketing,Executive,3,15668,37,11,8,5,4,2,4,18,No,3,39,3,3,2,2,41,2,Yes
191,57,Male,Divorced,HR,Executive,4,14569,99,18,9,1,2,4,2,13,Yes,5,48,13,4,4,1,2,3,No
192,43,Male,Married,Sales,Manager,5,16029,54,18,12,0,2,5,4,47,Yes,8,43,13,4,3,1,4,1,Yes
193,24,Female,Divorced,HR,Manager,3,16107,91,21,5,1,3,3,3,85,Yes,4,42,5,3,1,1,28,2,No
194,53,Male,Married,Finance,Manager,2,5560,37,26,12,0,1,4,3,80,Yes,2,44,16,2,3,3,33,1,No
195,25,Male,Single,HR,Analyst,1,8867,30,16,6,9,4,1,3,67,No,4,45,1,2,2,1,11,3,No
196,41,Female,Married,Finance,Manager,4,18284,75,13,11,9,3,2,2,44,No,2,31,7,3,1,4,3,4,No
197,30,Male,Married,IT,Manager,3,4211,82,7,4,8,2,1,3,18,Yes,3,58,3,2,2,2,40,3,No
